16000,SEFAZ,11,2016,161011,SEFAZ,291000398,PROFISCO - PROJETO MODERN. FAZENDÁRIA - EMPRESTIMO Nº 2518/OC-BR,21230500,2583750
16000,SEFAZ,11,2016,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11120701,9384269.89
16000,SEFAZ,1,2022,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,17115001,517168917.08
16000,SEFAZ,6,2022,161011,SEFAZ,270000000,Recursos Diretamente Arrecadados,11220101,114064.05
16000,SEFAZ,7,2022,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17125221,955895.18
16000,SEFAZ,8,2022,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91125105,-63772.42
16000,SEFAZ,11,2015,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11120701,2249792.82
16000,SEFAZ,2,2017,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,99114202,140843.87
16000,SEFAZ,2,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180125,-34318.23
16000,SEFAZ,4,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19100114,29925.74
16000,SEFAZ,5,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11280292,52.18
16000,SEFAZ,8,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180128,-140218.88
16000,SEFAZ,9,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11130311,65495880.27
16000,SEFAZ,5,2018,161011,SEFAZ,291000398,PROFISCO - PROJETO MODERN. FAZENDÁRIA - EMPRESTIMO Nº 2518/OC-BR,13210011,3543.16
16000,SEFAZ,10,2018,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180213,145994.25
16000,SEFAZ,1,2020,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19100113,319761.22
16000,SEFAZ,3,2020,150102,SEFAZ - FIN,291000395,PROJETO ÁGUAS DE SERGIPE - BIRD - EMPRESTIMO 8113 - BR,21280141,13000000
16000,SEFAZ,11,2020,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180221,267369.23
16000,SEFAZ,8,2019,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,13210011,442841.68
16000,SEFAZ,4,2016,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,99909991,172765.12
16000,SEFAZ,7,2016,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11120431,23102888.74
16000,SEFAZ,1,2022,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91145011,-59120750.12
16000,SEFAZ,3,2022,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19110102,13563.15
16000,SEFAZ,4,2022,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11125203,20802.8
16000,SEFAZ,7,2022,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11125102,920907.04
16000,SEFAZ,11,2022,150102,SEFAZ - FIN,112000000,Cota-Parte da CIDE,13210101,7115.72
16000,SEFAZ,2,2015,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,99909994,89677.87
16000,SEFAZ,8,2015,150102,SEFAZ - FIN,290000393,PROGRAMA BNDES - ESTADOS - SERGIPE INFRAESTRUTURA,13250199,155256.06
16000,SEFAZ,11,2015,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11130201,238794223.48
16000,SEFAZ,2,2017,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19909901,725414.1
16000,SEFAZ,6,2017,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,17210112,173652.73
16000,SEFAZ,7,2017,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91120502,7943028.99
16000,SEFAZ,10,2021,150102,SEFAZ - FIN,290000410,CAIXA - CONTRATO FINANC. INFRAEST.E AO SANEAMENTO - FINISA - CAIXA - 120 MESES,13210011,43543.95
16000,SEFAZ,11,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180211,-55678418.54
16000,SEFAZ,11,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19100114,38454.16
16000,SEFAZ,5,2018,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11180121,13317451.47
16000,SEFAZ,6,2018,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180231,3602175.8
16000,SEFAZ,12,2018,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,97180111,74427351.77
16000,SEFAZ,12,2018,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19909911,2715169.89
16000,SEFAZ,8,2020,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11180213,1186575.36
16000,SEFAZ,10,2020,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180221,312453.72
16000,SEFAZ,10,2020,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180131,-170787.45
16000,SEFAZ,2,2019,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,17180161,167770.04
16000,SEFAZ,2,2019,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11180211,268147186.2
16000,SEFAZ,6,2019,150102,SEFAZ - FIN,290000397,PROINVESTE CAIXA - PROGRAMA FINANC. INFRAESTRUTURA AO SANEAMENTO - FINISA,21190011,3374707.45
16000,SEFAZ,12,2019,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,17180261,1284107.68
16000,SEFAZ,6,2016,150102,SEFAZ - FIN,290000397,PROINVESTE CAIXA - PROGRAMA FINANC. INFRAESTRUTURA AO SANEAMENTO - FINISA,13250199,565538.13
